power,heartRate,cadence,time
167.0,118.0,74.0,1364.0
166.0,118.0,74.0,1365.0
165.0,118.0,75.0,1366.0
164.0,118.0,75.0,1367.0
164.0,119.0,75.0,1368.0
165.0,119.0,75.0,1369.0
164.0,119.0,73.0,1370.0
164.0,120.0,72.0,1371.0
165.0,122.0,71.0,1372.0
165.0,123.0,71.0,1373.0
166.0,122.0,72.0,1374.0
164.0,123.0,72.0,1375.0
165.0,124.0,72.0,1376.0
164.0,124.0,72.0,1377.0
164.0,126.0,72.0,1378.0
164.0,125.0,73.0,1379.0
166.0,124.0,72.0,1380.0
166.0,122.0,72.0,1381.0
164.0,122.0,73.0,1382.0
164.0,121.0,73.0,1383.0
164.0,120.0,74.0,1384.0
164.0,120.0,74.0,1385.0
164.0,120.0,74.0,1386.0
164.0,120.0,73.0,1387.0
165.0,122.0,73.0,1388.0
164.0,124.0,74.0,1389.0
166.0,126.0,74.0,1390.0
165.0,126.0,73.0,1391.0
165.0,126.0,72.0,1392.0
170.0,124.0,72.0,1393.0
163.0,123.0,75.0,1394.0
162.0,124.0,79.0,1395.0
162.0,125.0,77.0,1396.0
163.0,125.0,75.0,1397.0
164.0,125.0,73.0,1398.0
165.0,125.0,72.0,1399.0
164.0,126.0,72.0,1400.0
164.0,127.0,71.0,1401.0
165.0,125.0,70.0,1402.0
166.0,124.0,70.0,1403.0
163.0,124.0,70.0,1404.0
163.0,122.0,71.0,1405.0
160.0,124.0,68.0,1406.0
169.0,125.0,68.0,1407.0
167.0,126.0,70.0,1408.0
164.0,126.0,75.0,1409.0
164.0,124.0,77.0,1410.0
163.0,124.0,76.0,1411.0
164.0,124.0,75.0,1412.0
163.0,125.0,74.0,1413.0
163.0,126.0,73.0,1414.0
165.0,127.0,73.0,1415.0
166.0,127.0,72.0,1416.0
164.0,126.0,72.0,1417.0
165.0,126.0,72.0,1418.0
166.0,126.0,73.0,1419.0
165.0,127.0,74.0,1420.0
165.0,127.0,73.0,1421.0
165.0,127.0,72.0,1422.0
165.0,127.0,72.0,1423.0
163.0,127.0,72.0,1424.0
164.0,126.0,73.0,1425.0
165.0,124.0,73.0,1426.0
165.0,124.0,72.0,1427.0
163.0,125.0,71.0,1428.0
163.0,126.0,71.0,1429.0
165.0,127.0,70.0,1430.0
165.0,127.0,70.0,1431.0
165.0,127.0,69.0,1432.0
166.0,126.0,70.0,1433.0
166.0,124.0,71.0,1434.0
165.0,122.0,73.0,1435.0
164.0,121.0,74.0,1436.0
